player,jersey,club,position,games_played,games_started,minutes,goals,assists,scoring_attempts,passes,pass_attempts,clean_sheet,goals_against,goals_saved,photo
Luis Abram,44,ATL,Defender,19,11,1095,0,0,6,620,694,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/tguk4arm1nktbbxm57ql.png
Thiago Almada,10,ATL,Midfielder,17,16,1393,6,2,56,808,958,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/k6rx4ztrhwcpx5krvwgm.png
Pedro Amador,18,ATL,Defender,9,9,809,0,4,8,316,388,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/tkou9q2tmf5uorq6xluu.png
Luke Brennan,20,ATL,Midfielder,7,0,147,0,0,2,21,24,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/mfcdta7vsvhz1lcbbpir.png
Alan Carleton, ,ATL,Midfielder,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/upload/t_q-best/v1620997957/assets/logos/ATL-Logo-480px.png
Erik Centeno,52,ATL,Forward,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/prd-league/uzhhygdtsqbkpyr4lirh.png
Noah Cobb,24,ATL,Defender,19,16,1353,0,0,2,623,733,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/pkb4jkqc1bq5meh1vzbb.png
Josh Cohen,22,ATL,Goalkeeper,3,2,208,0,0,0,57,70,0,5,6,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/aczb0bl1aarkalnaobm1.png
Matthew Edwards,47,ATL,Defender,1,0,1,0,0,1,1,1,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/wtb7utwfzhwpokb61kxk.png
Derrick Etienne Jr., ,ATL,Midfielder,2,0,25,0,0,1,3,6,0,0,0,https://images.mlssoccer.com/image/upload/t_q-best/v1620997957/assets/logos/ATL-Logo-480px.png
Nick Firmino,30,ATL,Midfielder,8,2,162,0,0,2,43,49,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/aultkix9xzzomtlrup9n.png
Ajani Fortune,35,ATL,Midfielder,27,13,1298,1,2,14,560,636,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/pfapxasx1wdxkeucjkq8.png
Matias Gallardo,55,ATL,Midfielder,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/upload/t_q-best/v1620997957/assets/logos/ATL-Logo-480px.png
Giorgos Giakoumakis, ,ATL,Forward,11,8,723,5,2,39,99,127,0,0,0,https://images.mlssoccer.com/image/upload/t_q-best/v1620997957/assets/logos/ATL-Logo-480px.png
Ashton Gordon,27,ATL,Forward,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/nceeoeeev8tck3sfbt8m.png
Stian Gregersen,5,ATL,Defender,23,20,1765,2,0,13,795,899,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/orpee3us5muzqc1n4f6n.png
Brad Guzan,1,ATL,Goalkeeper,32,32,2850,0,1,0,793,1074,6,44,113,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/jk169gpfjf3q0f7jrmpv.png
Ronald Hernández,2,ATL,Defender,13,7,708,0,1,10,310,359,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/qptfj7wvesuxt2nebg2c.png
Brooks Lennon,11,ATL,Defender,33,33,2957,0,8,7,1163,1370,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/f4g3m6tuvkxuc9rliict.png
Saba Lobjanidze,9,ATL,Midfielder,30,29,2467,9,7,82,499,630,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/e70a6ulpavtt2u0hsm5b.png
Dax McCarty,13,ATL,Midfielder,22,10,911,0,1,8,494,566,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/cw7warfks16gyockmcmf.png
Aiden McFadden,14,ATL,Defender,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/k7tyrc3i6qwhiw3oyeew.png
Alexey Miranchuk,59,ATL,Midfielder,9,8,747,3,1,18,252,305,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/wkc0equmivsb47wznedg.png
Efrain Morales,21,ATL,Defender,4,3,243,0,0,2,140,160,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/l57e3ge445m2jb1cuyko.png
Edwin Mosquera,70,ATL,Midfielder,22,5,614,1,2,19,177,230,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/yql4btcwq2wmkcraenzc.png
Tristan Muyumba,8,ATL,Midfielder,30,25,2124,0,2,28,1082,1196,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/sxdyvhr9zfmffcf8sqff.png
Miles Robinson, ,ATL,Defender,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/upload/t_q-best/v1620997957/assets/logos/ATL-Logo-480px.png
Xande Silva,16,ATL,Midfielder,23,17,1459,2,3,43,401,465,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/ouimd4ttjapsb8qrtyom.png
Bartosz Slisz,99,ATL,Midfielder,28,27,2403,1,1,23,1251,1401,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/w9fhcprxj9ata2awsnr8.png
Santiago Sosa, ,ATL,Midfielder,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/prd-league/ir3elw3ctxbkhkx8lfj8.png
Jamal Thiaré,14,ATL,Forward,25,12,1144,6,0,28,98,130,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/wizwvtazkvof0ovq9vwb.png
Adyn Torres,23,ATL,Midfielder,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/m8mz59abphfofzbt7lzi.png
Quentin Westberg, ,ATL,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/upload/t_q-best/v1620997957/assets/logos/ATL-Logo-480px.png
Caleb Wiley,26,ATL,Defender,21,21,1885,1,1,8,774,912,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/prd-league/ddwlenxkqusly45haspn.png
Derrick Williams,3,ATL,Defender,27,26,2265,0,1,20,1122,1278,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/nb8ok50ebsyb98pnwn0r.png
Jacob Williams,75,ATL,Midfielder,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls/kt453prjmnhsdoamtdoc.png
Tyler Wolff, ,ATL,Midfielder,18,6,477,1,0,10,143,167,0,0,0,https://images.mlssoccer.com/image/upload/t_q-best/v1620997957/assets/logos/ATL-Logo-480px.png
